Date,Open vix,Open spy,return
2/1/93,12.51,43.96875,0.568585643
2/2/93,12.47,44.21875,0.424028269
2/3/93,11.98,44.40625,1.266713582
2/4/93,11.86,44.96875,0
2/5/93,12.56,44.96875,0
2/8/93,13.15,44.96875,-0.347463516
2/9/93,13.63,44.8125,-0.348675035
2/10/93,13.58,44.65625,0.279916025
2/11/93,13.05,44.78125,0.209351012
2/12/93,13.58,44.875,-0.905292479
2/16/93,13.44,44.46875,-2.248770204
2/17/93,15.96,43.46875,1.078360891
2/18/93,14.69,43.9375,-1.209103841
2/19/93,15.74,43.40625,0.647948164
2/22/93,15.03,43.6875,0.357653791
2/23/93,15.1,43.84375,-0.28510335
2/24/93,14,43.71875,1.143674053
2/25/93,12.99,44.21875,0.494699647
2/26/93,13.47,44.4375,0.281293952
3/1/93,13.13,44.5625,-0.561009818
3/2/93,13.76,44.3125,1.551480959
3/3/93,13.14,45,0.416666667
3/4/93,12.52,45.1875,-0.553250346
3/5/93,13.2,44.9375,-0.208623088
3/8/93,15,44.84375,1.81184669
3/9/93,14.02,45.65625,-0.136892539
3/10/93,14.63,45.59375,0.274160384
3/11/93,13.97,45.71875,-1.161995899
3/12/93,15.6,45.1875,-0.276625173
3/15/93,15.01,45.0625,0.554785021
3/16/93,13.05,45.3125,-0.137931034
3/17/93,15.06,45.25,-0.069060773
3/18/93,14.33,45.21875,0.138217001
3/19/93,13.89,45.28125,-1.518288475
3/22/93,13.97,44.59375,0.700770848
3/23/93,12.71,44.90625,-0.208768267
3/24/93,12.23,44.8125,0.209205021
3/25/93,12.71,44.90625,0.487125957
3/26/93,10.66,45.125,-0.415512465
3/29/93,13.04,44.9375,0.486787204
3/30/93,12.58,45.15625,0.415224913
3/31/93,12.29,45.34375,-0.206753963
4/1/93,13.04,45.25,-1.312154696
4/2/93,14.27,44.65625,-0.489853044
4/5/93,14.43,44.4375,-0.070323488
4/6/93,13.73,44.40625,-0.351864884
4/7/93,13.75,44.25,0.63559322
